fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,4427.976657152176,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
2,3549.325632095337,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
3,4717.9378089904785,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
4,4615.727270126343,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
5,3452.034051179886,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
6,3586.304932117462,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
7,3320.11922621727,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
8,4763.711967945099,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
9,5342.241800069809,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
10,3521.9816839694977,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
11,3299.162544965744,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
12,4601.62593793869,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
13,3013.5699169635773,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
14,3525.3159539699554,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
15,3509.7280728816986,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
16,2533.260554790497,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
17,3805.4770669937134,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
18,3828.7208757400513,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
19,4550.13291311264,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
20,3329.610557079315,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
21,3621.346337080002,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
22,3059.85697889328,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
23,3941.758131980896,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
24,3627.113564014435,True,,gp_baseline,gp,4,1,bbob,12294.913487911224
