fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,1085.541443824768,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
2,1085.6169500350952,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
3,1085.5255150794983,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
4,1085.5456190109253,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
5,1085.5766911506653,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
6,1085.5651519298553,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
7,1085.5941083431244,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
8,1085.5725078582764,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
9,830.7576971054077,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
10,830.7735869884491,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
11,830.7177729606628,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
12,830.7551810741425,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
13,830.7284920215607,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
14,830.786376953125,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
15,830.8155779838562,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
16,830.8034789562225,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
17,849.2347900867462,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
18,849.1928117275238,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
19,849.2061891555786,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
20,862.3774769306183,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
21,849.219544172287,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
22,849.2256419658661,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
23,849.1864578723907,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
24,849.2255611419678,True,,zero_shot,google/gemini-2.0-flash-001,3,1,BBOB,2778.883402109146
