fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,1475.9515693187714,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
2,1534.107254743576,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
3,1574.458389043808,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
4,1518.2571659088135,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
5,1058.186712026596,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
6,1507.3173220157623,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
7,1435.7768812179565,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
8,1390.4955401420593,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
9,1357.7091591358185,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
10,1495.5976157188416,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
11,1351.679081916809,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
12,1367.7932410240173,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
13,1389.637265920639,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
14,1351.1888101100922,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
15,1358.209722995758,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
16,1051.4342670440674,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
17,1395.9310398101807,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
18,1370.8987047672272,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
19,1290.537640094757,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
20,1268.3728048801422,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
21,1037.7358219623566,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
22,1318.1349132061005,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
23,1222.8401670455933,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
24,912.303318977356,True,,gp_baseline,gp,2,1,bbob,4210.347537994385
