fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,2195.5836210250854,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
2,2824.0720381736755,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
3,2261.0414669513702,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
4,1757.2467670440674,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
5,6179.2951538562775,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
6,2278.3881368637085,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
7,3235.5784661769867,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
8,2530.188942193985,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
9,2060.514039993286,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
10,3019.2742347717285,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
11,3253.3641028404236,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
12,2164.9171891212463,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
13,4656.91826915741,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
14,2372.856953859329,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
15,3542.219706058502,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
16,1575.6776239871979,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
17,2381.092577934265,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
18,2146.0096909999847,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
19,1812.0804588794708,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
20,2384.7675449848175,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
21,1401.76043009758,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
22,1797.9161310195923,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
23,1312.6488749980927,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
24,1438.8215301036835,True,,gp_baseline,gp,3,1,bbob,8268.968817949295
