ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2,instance,dim,rep
0.1563361301750929,0.04903149475248486,0.29215727665085794,-0.3023666594695614,0.04067000549636823,0.20381834275565203,0.13214641051462006,0.5800491583126524,P1_IllConditionedCuspRidge,2,0
-0.023474022579963626,0.06707145814143721,0.26215759659772214,-0.3198071949414326,0.061211324117180665,0.20891870323367223,0.15315442435620508,0.569679697633462,P1_IllConditionedCuspRidge,2,1
-0.029453378743970634,0.051769977524805146,0.2418886543261464,-0.31972060781605954,0.06025536765469497,0.20482137255253063,0.1340050568630412,0.5855453678054534,P1_IllConditionedCuspRidge,2,2
-0.09549059233658794,0.04739927184983178,0.25821030375185,-0.30434293513407223,0.08017917461818247,0.2724825173213762,0.16370809169067535,0.6084145520592569,P1_IllConditionedCuspRidge,2,3
0.0292703095238077,0.04981105078394622,0.28715398035422396,-0.3085218702604261,0.06161544192070567,0.23400823439670126,0.13826381072630956,0.5574017333248834,P1_IllConditionedCuspRidge,2,4
0.12511352210862675,0.046090545007428665,0.27118895480952604,-0.31717275732097916,0.06661764520525648,0.2548751501085802,0.1468053473756229,0.5564532755229916,P1_IllConditionedCuspRidge,2,5
0.03374683839713089,0.05146756207533781,0.3204828162661971,-0.30922859745448167,0.13964389126913468,0.26447923735025236,0.18228867467859444,0.5961444247729977,P1_IllConditionedCuspRidge,2,6
-0.007648897333468008,0.05398875575961005,0.20964835147849406,-0.3161442990515363,0.07780538446518304,0.23091955401738795,0.14305963486500428,0.5847606573117615,P1_IllConditionedCuspRidge,2,7
0.03113463379313565,0.05029509209559152,0.2489220740210462,-0.3006796368950592,0.0712129272785833,0.23752112939338876,0.11959515978049517,0.5572808370654313,P1_IllConditionedCuspRidge,2,8
0.10118259310559122,0.05189339470017321,0.29638257043988353,-0.2918516819659759,0.1107582191190889,0.2857883274701881,0.1891306920863115,0.5778744716770757,P1_IllConditionedCuspRidge,2,9
-0.018781812023578634,0.05888034831395492,0.25569960500263317,-0.31029383517612347,0.08097066005822295,0.28043904551458954,0.16814656121720528,0.5917062328592353,P1_IllConditionedCuspRidge,2,10
0.11211811699868905,0.049314970259593756,0.29482981270606845,-0.28159718007398465,0.10103038014324917,0.271113759060574,0.15843538585723793,0.5964896092134233,P1_IllConditionedCuspRidge,2,11
0.013794184941610336,0.05462699722768387,0.27753321143334964,-0.295817364061632,0.08165110230971906,0.25004595272200847,0.14481715600563172,0.58277943046556,P1_IllConditionedCuspRidge,2,12
0.0820671123317054,0.04773608949674345,0.26572869559384765,-0.30638395991350126,0.07890500661007827,0.26971620839194876,0.14169368482394007,0.5634987337402853,P1_IllConditionedCuspRidge,2,13
0.03537367292264169,0.04897511793143873,0.29837953645381327,-0.28377999500816753,0.09526395516583042,0.2632514943819737,0.1662331673682036,0.5952488053742828,P1_IllConditionedCuspRidge,2,14
0.057847593855471266,0.049233462303605736,0.2874170259012651,-0.30585462966808663,0.10012818094983233,0.2515123755451846,0.16531344515527868,0.5710113099444343,P1_IllConditionedCuspRidge,2,15
0.09480443887367339,0.05431228218486654,0.2606029892055729,-0.28245775214622726,0.09168562041615691,0.3176943854819684,0.17615500609446844,0.6364772964356795,P1_IllConditionedCuspRidge,2,16
0.02386963589982593,0.04328818180368791,0.27131890178419293,-0.2927252876613713,0.0695405884649487,0.23716705340700694,0.129028132280411,0.5665185000151697,P1_IllConditionedCuspRidge,2,17
0.010132348995706898,0.05438802988880532,0.25248185142036156,-0.2870434351022058,0.05485803250514765,0.23792256539212053,0.12223538072526885,0.5669848635754113,P1_IllConditionedCuspRidge,2,18
-0.0068806827392550755,0.05891013078304777,0.3125892813822986,-0.2886382077513647,0.05496557278123326,0.21485279692414305,0.1283816744786609,0.5596935852915879,P1_IllConditionedCuspRidge,2,19
-0.02641011457908085,0.05576849488310591,0.24370820161215886,-0.3304946995106714,0.051502013080330644,0.21871523678438198,0.12395459469088144,0.5359941296789765,P1_IllConditionedCuspRidge,2,20
0.10809440324712088,0.05933405397851739,0.2696166968170313,-0.297666471174758,0.05579325981140715,0.267262064035679,0.14725309734461456,0.6030029789948976,P1_IllConditionedCuspRidge,2,21
