ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2,fid,dim,iid,rep
0.6016890472907244,0.013889732569241298,0.6944534974275914,-0.18048514654426495,0.26778231327036994,0.2686233223279262,1.0,1.0,1,2,1,0
0.7384773432070663,0.013219343792143946,0.7107232442087128,-0.17089070141207266,0.3055788340842399,0.3043168526931318,1.0,1.0,1,2,1,1
0.7384554475365079,0.012729938978975534,0.6735758361967696,-0.16766488026981602,0.32426573641324785,0.3236572663209356,1.0,1.0,1,2,1,2
0.7764774241112907,0.017189485049800203,0.6786365132762393,-0.17591677008079384,0.2826829110763117,0.284712514944387,1.0,1.0,1,2,1,3
0.6380996644802056,0.014620302171950837,0.7065719224500424,-0.1712369701419005,0.29255383746608377,0.2914086952220347,1.0,1.0,1,2,1,4
0.7260388866053751,0.015382575748429887,0.7581942872723959,-0.17863926867991392,0.2818714117629717,0.2823954178162067,1.0,1.0,1,2,1,5
0.8610671012235254,0.015166489820178843,0.7149573198407809,-0.16735869530363814,0.3083331799498543,0.31455303452733496,1.0,1.0,1,2,1,6
0.5734833367208254,0.01891453627392612,0.6908487871403747,-0.2081060151583273,0.29761243104117974,0.2983865277468932,1.0,1.0,1,2,1,7
0.7606376218264798,0.01860593617113047,0.707300430458776,-0.17546065082750556,0.3082424922326964,0.3073410063639339,1.0,1.0,1,2,1,8
0.8322367215378174,0.013176906443213093,0.7431277201794481,-0.17922079724722012,0.28950159574166057,0.2888529270287111,1.0,1.0,1,2,1,9
0.6401042021022925,0.01755333151775972,0.6949774186714746,-0.17039565513744726,0.3102512687953144,0.3433966674983373,1.0,1.0,1,2,1,10
0.8657980491331162,0.017731323117527207,0.7208846946455002,-0.17671232135218928,0.2913752216227147,0.289946582835676,1.0,1.0,1,2,1,11
0.7283034207714096,0.014313828937773138,0.7131568447662329,-0.17936015211734163,0.29281196409841515,0.29229105350537543,1.0,1.0,1,2,1,12
0.6555275697588673,0.017787719755938933,0.6412876541874948,-0.17555114597603888,0.2976037136239176,0.2978980386531237,1.0,1.0,1,2,1,13
0.7696597487857856,0.019707316937840284,0.6579587869195266,-0.1759689593510912,0.28076347785182476,0.2818939536198397,1.0,1.0,1,2,1,14
0.7074622577151601,0.014565261296830681,0.7095905190528278,-0.1744935512997361,0.30733744215201175,0.30594114403877226,1.0,1.0,1,2,1,15
0.6224434143642928,0.018861645136821863,0.7210110061393143,-0.20194093626783244,0.2773546274501887,0.27590757292415014,1.0,1.0,1,2,1,16
0.780936600401753,0.016449519802858536,0.6895895691473763,-0.19530555298816643,0.27414967385093547,0.2795250106641721,1.0,1.0,1,2,1,17
0.7605063331777956,0.015967018930764507,0.7643000662221084,-0.16958368476629415,0.32679574762201824,0.32982688354321255,1.0,1.0,1,2,1,18
0.7504223983483769,0.01721257447168648,0.6958040257023612,-0.18304894897329885,0.31448680920120664,0.313168022532045,1.0,1.0,1,2,1,19
0.8100475216050642,0.01813206189357875,0.7203550584335875,-0.17044702817918345,0.333996768328475,0.33304362148887146,1.0,1.0,1,2,1,20
0.7130834246214662,0.014049055957039045,0.6671999203458956,-0.16233540037280486,0.28380567020022396,0.2870485840520939,1.0,1.0,1,2,1,21
0.7157515170447614,0.014906922119706161,0.7541259508531377,-0.17283499967742405,0.31647191016471987,0.31688385373831307,1.0,1.0,1,2,1,22
0.7383314959786723,0.015361226483968005,0.6738075185807264,-0.17299479106358895,0.26406006338622345,0.2642894785749036,1.0,1.0,1,2,1,23
0.8761420139988699,0.015100294893531754,0.718129840859309,-0.16092881038531298,0.30722441058019145,0.3065026526229768,1.0,1.0,1,2,1,24
0.7493965570673067,0.014813427674182655,0.7271756470651562,-0.16668451733420042,0.2960120239156785,0.3014766441809684,1.0,1.0,1,2,1,25
0.7896460616687663,0.015797778877757195,0.6848481390787596,-0.17173407731172363,0.27283456964861874,0.27328324731208675,1.0,1.0,1,2,1,26
0.7177801765654763,0.013374751767978713,0.7194516039259155,-0.17999515636313052,0.29536519481076207,0.2942144784326104,1.0,1.0,1,2,1,27
0.656843635583725,0.01695025938824996,0.7114116761233431,-0.17506944333224317,0.3023721575469793,0.3016955606823405,1.0,1.0,1,2,1,28
