instance,dim,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
P109_InterferenceMesh,2,1.2445578599854112,0.008983489186900869,0.36800337738374167,-0.41567142595867906,-0.00011733850339105567,0.0022941069486544464,0.49528314735333984,0.4991281399193962
P111_RadialBraid,2,1.5030933167544058,0.009683988630422833,0.35670935442752577,-0.17781707843295652,0.6589275615692038,0.6949969571942488,0.7713787809183321,0.8245347824477628
P114_BandedQuartet,2,1.6226444676396492,0.008360003322985813,0.294243746368667,-0.20813209126004015,0.611457609303594,0.6780111260384057,0.6787605489741559,0.8384105280910203
P208_TightCluster,2,0.4320445504500618,0.019187633120467416,0.6953430030741587,-0.10429888109927032,0.9108118112276518,0.9110576022989022,0.975897744922473,0.9954777497948822
P217_WaveletStorm2,2,0.7141314066958552,0.016618499128769847,0.45424638264227163,-0.1592812941200985,0.3933408860434674,0.7403997868947492,0.46272718701835963,0.8757825842033309
P222_FloweryBloom,2,1.215638524196064,0.008720251025857164,0.35804842381461655,-0.41199602903173527,-0.0005473402557054041,0.0020028183084227933,0.5380101139955459,0.5419287284094052
P308_OctetMixed,2,0.9774214428118829,0.02700693698811586,0.18656413453327733,-0.39552658240668587,0.23998677355851925,0.3072122054349994,0.3035172475463061,0.4806259280823
P309_TripleNeedles,2,1.244587118581453,0.011763975575267729,0.5725601853983378,-0.15247615795942107,0.49081296282348824,0.5610528321979948,0.5915494145957144,0.9116318577581721
P315_TerracedRings,2,-0.3370376694897326,0.0699681692369169,0.525972278961207,-0.28924725653227534,-0.0025016188686081764,-0.0019788624657225105,0.8325360186148205,0.8652709933169777
P318_CrossHatch,2,1.8231234334828599,0.0011243048187472146,0.3410913850142407,-0.3163287360351626,0.3389491418846901,0.339788046934968,0.4199941654070025,0.42953158129817626
P37_H1_K12_Smooth,2,0.5428140800324154,0.027072220822460434,0.3317209382854873,-0.25074294919407975,0.010110099540235893,0.06855047572718817,0.5232539703899279,0.7406611907021653
P44_I4_Additive_SubQuad,2,0.22883702172906517,0.05067461160186307,0.4012952709380253,-0.29264334073832365,0.6030766103968641,0.6037605572154644,0.7108137548869302,0.819462966428189
