source,group,label,fid,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
BBOB,f1: Sphere,BBOB f1 i1: Sphere,1.0,0.6185349382999722,0.01686472411723923,0.7254235314869668,-0.18684501125891245,0.3147095915719249,0.31333067350232324,1.0,1.0
BBOB,f1: Sphere,BBOB f1 i2: Sphere,1.0,0.5420096240115471,0.008340973641555874,0.6989712455924616,-0.10314027960093204,0.8790081646217371,0.8787704471289811,1.0,1.0
BBOB,f1: Sphere,BBOB f1 i3: Sphere,1.0,0.6959511861179538,0.008942358612702775,0.6841147338669658,-0.12605083255218738,0.8204488759772822,0.8210062082103823,1.0,1.0
BBOB,f2: Ellipsoid Sep.,BBOB f2 i1: Ellipsoid Sep.,2.0,0.7501238320889732,0.0027378821222717948,0.2662681558812008,-0.1580694053623951,0.09822192689425635,0.09818377526881672,0.997925614825898,0.9982037488462039
BBOB,f2: Ellipsoid Sep.,BBOB f2 i2: Ellipsoid Sep.,2.0,0.9296982646562112,0.0014031807534558326,0.3997086022941598,-0.10543476618616204,0.8194175288014749,0.8201265660727391,0.9984347994430572,0.9991329306691672
BBOB,f2: Ellipsoid Sep.,BBOB f2 i3: Ellipsoid Sep.,2.0,0.8611779272483767,0.0010116272729576744,0.4048392949645293,-0.09572272415256691,0.8870958873432457,0.8885269625982908,0.9977688823016504,0.9981457850244985
BBOB,f3: Rastrigin Sep.,BBOB f3 i1: Rastrigin Sep.,3.0,0.8840188607978271,0.010952626765872959,0.5137080418115082,-0.1216852696380948,0.7037727892460819,0.7035765074954705,0.9829411362379397,0.9910270868407884
BBOB,f3: Rastrigin Sep.,BBOB f3 i2: Rastrigin Sep.,3.0,2.0762608629338155,0.003954737356842631,0.5465819300666183,-0.11882354228185091,0.4802363338246116,0.47963798647280076,0.9082504601821385,0.9860894095342048
BBOB,f3: Rastrigin Sep.,BBOB f3 i3: Rastrigin Sep.,3.0,2.0913500458293046,0.0035796355837658233,0.5211225941881525,-0.10778908681031826,0.49621533907416704,0.4968465759299995,0.9071431618639926,0.9850051933101489
BBOB,f4: Büche-Rastrigin,BBOB f4 i1: Büche-Rastrigin,4.0,1.4791539645758405,0.0061633771046673315,0.529134170234878,-0.14020369644769576,0.5245139304094979,0.5249511072463595,0.8402360682345036,0.9541100525225892
BBOB,f4: Büche-Rastrigin,BBOB f4 i2: Büche-Rastrigin,4.0,2.0060070270405026,0.008301348989415041,0.5662607191795558,-0.1535897436517287,0.29845319850745766,0.2973257273325769,0.7864325804640663,0.9342988315251773
BBOB,f4: Büche-Rastrigin,BBOB f4 i3: Büche-Rastrigin,4.0,1.8998786561587715,0.006213733275919781,0.5524638849364265,-0.1439482710836592,0.3581571229102156,0.3622476457575432,0.8050838051434799,0.9505449624722991
BBOB,f5: Linear Slope,BBOB f5 i1: Linear Slope,5.0,0.007820349727482004,0.037980330597927034,0.49537456399003804,-0.09985943286510751,1.0,1.0,1.0,1.0
BBOB,f5: Linear Slope,BBOB f5 i2: Linear Slope,5.0,0.009351120594658733,0.0291666027155643,0.591586860455075,-0.09335434872345087,1.0,1.0,1.0,1.0
BBOB,f5: Linear Slope,BBOB f5 i3: Linear Slope,5.0,-0.005208873413436767,0.0336397327343494,0.6600083931013548,-0.10160518570145334,1.0,1.0,1.0,1.0
BBOB,f6: Attractive Sector,BBOB f6 i1: Attractive Sector,6.0,0.9659432938325764,5.8406204420926776e-05,0.6723471594420422,-0.09000065279008927,0.8725447963882572,0.9118368730676956,0.9575235140554402,0.9939272203852924
BBOB,f6: Attractive Sector,BBOB f6 i2: Attractive Sector,6.0,1.4648227907152047,1.811027316342988e-05,0.6919441612036351,-0.10957876218045892,0.6943306032852319,0.7057766477894629,0.9518901436999728,0.9952066521585362
BBOB,f6: Attractive Sector,BBOB f6 i3: Attractive Sector,6.0,1.5134315616714042,6.503615051226141e-06,0.6796137185057479,-0.08680810645651546,0.7479104059965613,0.8874710921692069,0.8820978904050994,0.9937647434891086
BBOB,f7: Step Ellipsoid,BBOB f7 i1: Step Ellipsoid,7.0,1.5156041004386394,0.0014121626127830778,0.5535807747709884,-0.13231287577188144,0.03784599069631678,0.7266857194311349,0.3532097983170941,0.994192553276108
BBOB,f7: Step Ellipsoid,BBOB f7 i2: Step Ellipsoid,7.0,1.767574561522285,0.004706351696009367,0.6275313631467809,-0.14690025131467313,0.07290797243407976,0.6821830675365883,0.42502873558685594,0.9805841920541447
BBOB,f7: Step Ellipsoid,BBOB f7 i3: Step Ellipsoid,7.0,0.9504895035938521,0.000783566513304881,0.40911981647695933,-0.0996956487947597,0.87617000037974,0.9052412564280652,0.9817819868795629,0.997986074426382
BBOB,f8: Rosenbrock,BBOB f8 i1: Rosenbrock,8.0,2.217139848475259,0.00015022173446383241,0.516165931977931,-0.11906094501201367,0.4222462411410386,0.42582475885294435,0.8589224914262493,0.9718271725659374
BBOB,f8: Rosenbrock,BBOB f8 i2: Rosenbrock,8.0,1.5955361697823587,0.00010279764399915634,0.5692557645829476,-0.10349596812934456,0.6934884058884647,0.7053219211478229,0.9568988189426326,0.9991447973226547
BBOB,f8: Rosenbrock,BBOB f8 i3: Rosenbrock,8.0,2.0858823652988914,0.00015801458194923275,0.34844745633907453,-0.1078077788595963,0.5327914008311283,0.5460087079776643,0.8781040618267599,0.9896085239284159
BBOB,f9: Rosenbrock Rot.,BBOB f9 i1: Rosenbrock Rot.,9.0,3.4491298477024124,8.550925580019687e-05,0.4906375406153737,-0.09479719170677191,0.16594305867401882,0.5810374813835035,0.43820821647197905,0.9561705975123708
BBOB,f9: Rosenbrock Rot.,BBOB f9 i2: Rosenbrock Rot.,9.0,3.7068489088675545,0.00012122882975401563,0.43967397352918425,-0.10563389731677311,0.11615752226947862,0.5586558497207115,0.3870305945710497,0.953778722713087
BBOB,f9: Rosenbrock Rot.,BBOB f9 i3: Rosenbrock Rot.,9.0,2.870704649013089,7.963980749011275e-05,0.5885447315936909,-0.11726482367487914,0.14831387777160188,0.5214330593181977,0.4757744405237342,0.9401411282818515
BBOB,f10: Ellipsoid,BBOB f10 i1: Ellipsoid,10.0,1.4034986954841309,0.001069214485399253,0.357254303991877,-0.11154090854625502,0.6358174605793923,0.69080612924259,0.9249875245383955,0.998617839657224
BBOB,f10: Ellipsoid,BBOB f10 i2: Ellipsoid,10.0,1.533784030704237,0.0008139695329665871,0.2568677958316079,-0.11465045035842511,-0.003515929519465555,0.7307287287637024,0.3306436181160757,0.9980060408365622
BBOB,f10: Ellipsoid,BBOB f10 i3: Ellipsoid,10.0,1.4826615385349713,0.0010723038438263184,0.2740728135576878,-0.1253565296611114,0.1001539502125216,0.7108687011094095,0.361679472060776,0.9985378205153674
BBOB,f11: Discus,BBOB f11 i1: Discus,11.0,0.9939792549805557,0.0007582168127202512,0.454821144518481,-0.09246240040922775,0.8353558126865576,0.8822968740569763,0.9463545726501654,0.9957333326472295
BBOB,f11: Discus,BBOB f11 i2: Discus,11.0,0.9669375768708988,0.0008892517455252957,0.3935100031579594,-0.09070282277659802,0.8263174825603081,0.878742132990184,0.9352041056009126,0.9957276702522164
BBOB,f11: Discus,BBOB f11 i3: Discus,11.0,1.8696948562889428,0.0006452992431370621,0.30374693956785664,-0.1171804101874303,0.17364907830462817,0.6607194967517268,0.47139867861469653,0.9984005737609506
