fid,dim,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
1,2,1.047053525970653,0.006400958503500449,0.47626139684235314,-0.14874417660572054,0.4130305180119128,0.414812405399907,0.989246988007237,0.9949948214152924
2,2,0.831653476522746,0.005897106194643395,0.4153888588550164,-0.17503873939794606,-0.0015298163396374486,0.00028505223846140334,0.9626368909299821,0.9929164725378993
3,2,1.3391348872115763,0.005503369227047206,0.5837011328283268,-0.10480752790023824,0.7749516173796348,0.8061933563670215,0.9381185217871686,0.9918106845641218
4,2,0.6971331127158105,0.006734184831265217,0.6103289071236561,-0.09887975808588434,0.8514709141189937,0.86378644600462,0.9455962824597003,0.9870099084511152
5,2,0.4639121017854254,0.03118918595509039,0.6031825086168986,-0.10081078651021588,0.9708283250885108,0.9977156018985393,0.9709149102664686,0.9985446797480674
6,2,1.3211777638545164,0.000403323936368172,0.6450265676805764,-0.0917904268170873,0.8144955685517508,0.9320238235747671,0.8770668445171762,0.9969517002364604
7,2,2.1492014002413358,0.001004122308260989,0.45489268758834184,-0.13851707654702194,0.14416245753356985,0.43614302625234574,0.5993766982515197,0.9315231511340578
8,2,3.1789216670708766,0.000588114714160623,0.5215788395259584,-0.1588658798381882,0.028880615597322537,0.24399683855366583,0.5070485867443092,0.8589750336847578
9,2,2.0757202878717105,0.0012918809369104889,0.4642105267040539,-0.1473673059500489,0.023114949998662624,0.31204597064712475,0.5787610476428753,0.8904415672129155
10,2,1.490361520140841,0.000977511187582203,0.4664950633884553,-0.10816650477839947,0.6321633145860095,0.7335042464297961,0.8986028870940191,0.9987112793821555
11,2,0.9271766147798636,0.0009017124762927479,0.4749346826755489,-0.08961493094209531,0.8486359742375116,0.8627635353130289,0.9845073261867309,0.9989528615525803
12,2,2.10418038956381,0.00023683222346366302,0.44807432270516884,-0.09868390375462682,0.6356219556462052,0.7145398856015948,0.8439205880215787,0.9851658010970761
13,2,1.8933453342418438,0.006486984753528418,0.6522098580061916,-0.1085161196006272,0.5516386757632402,0.7762495126682097,0.7465428191815784,0.9892997118393061
14,2,1.323786894335294,0.008862204001577846,0.6373206867200836,-0.1425666231266608,0.3878603462268348,0.38908002282338194,0.97947836900635,0.986683132715518
15,2,1.7356438126778584,0.007991890205820947,0.40245490238512815,-0.15338921468839095,0.5083769260178681,0.5981525261031169,0.8077608795976442,0.9437984398946349
16,2,1.5489710182196834,0.006783262235241807,0.3484415199878472,-0.26609576374193933,0.5094763001582696,0.5116953662598591,0.7251563638792724,0.7425978489981836
17,2,2.237000392589977,0.00059918498996519,0.420236966705057,-0.17916739183176145,0.5984787403422882,0.6200295504011089,0.7958882144016803,0.8514269323901382
18,2,2.5217037146135928,0.000865562179625629,0.45001530945785034,-0.13239353418113367,0.5851048948786205,0.6975120390205602,0.7578026157603003,0.9243153188615265
19,2,2.4783424904508298,0.000522168563290124,0.4811103028483459,-0.12406635557399484,0.03196946123780624,0.4854923573506565,0.45997329524315816,0.9698060593130223
20,2,1.3861849646382214,0.000972477089845958,0.49894802816885714,-0.14402598073281989,0.613158535265431,0.6747027504828332,0.8734387384278282,0.9352452320226295
21,2,0.6540428673170888,0.03745664147287058,0.33029777640333874,-0.3677685830357325,0.02671294721626613,0.1249910690002291,0.19639059454786026,0.3792407969861948
22,2,0.17956863161040515,0.04341958394823672,0.27064047478907755,-0.5131009126632016,0.10460793618670049,0.1096816767423104,0.13498761723923797,0.16841643946840446
23,2,1.5781758234470442,0.0013244984083958281,0.2964689625641015,-0.1621763486982378,0.6076942024334742,0.6083996624662078,0.8558159372687543,0.874579493948605
24,2,0.1654181431274441,0.044453880171325365,0.4329426693618057,-0.30311248130166984,0.04040967367160087,0.09178420480598046,0.7485486823852768,0.8537931402869261
